id,station_name,city,state,zip,latitude,longitude,ev_connector_types,ev_network,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,date_last_confirmed
39959,West Covina Nissan,West Covina,CA,91791,34.074227,-117.890899,"CHADEMO,J1772",Non-Networked,1,0,1,2024-02-12
41526,Marsh Street Parking Structure,San Luis Obispo,CA,93401,35.279705,-120.6609,J1772,Non-Networked,0,0,2,2023-06-12
43478,Malibu Country Mart,Malibu,CA,90265,34.035802,-118.686393,J1772,Non-Networked,0,0,2,2023-08-10
45313,CITY OF DUBLIN LIBRARY MIDDLE,Dublin,CA,94568,37.702909,-121.91835,J1772,ChargePoint Network,0,0,1,2025-10-13
46136,Amador Transit,Sutter Creek,CA,95685,38.379983,-120.807672,J1772,Non-Networked,0,0,1,2025-05-12
46473,Golden Gate Park - Music Concourse Garage,San Francisco,CA,94118,37.768766,-122.468341,"J1772,NEMA520",Non-Networked,0,9,4,2025-01-13
46482,Cupertino Electric,San Jose,CA,95112,37.36217972612609,-121.8995386415253,J1772,Non-Networked,0,0,12,2023-09-14
46709,Nissan of Burlingame,Burlingame,CA,94010,37.57792,-122.341931,J1772,Non-Networked,0,0,1,2024-02-12
46715,CITYOF CAMPBELL 2NDST GARAGE UL,Campbell,CA,95008,37.287593,-121.946908,J1772,ChargePoint Network,0,0,1,2025-10-13
46721,Dublin Nissan,Dublin,CA,94568,37.70271,-121.91118,"CHADEMO,J1772",Non-Networked,1,0,4,2024-02-12
46723,Stone Brewing World Bistro & Gardens,Escondido,CA,92029,33.11587,-117.11955,J1772,Non-Networked,0,0,2,2024-05-09
46724,Momentum Nissan,Fairfield,CA,94533,38.24415,-122.0795,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,2,2024-02-12
46729,Renaissance Indian Wells Resort & Spa,Indian Wells,CA,92210,33.72323,-116.324409,J1772,Non-Networked,0,0,2,2025-08-12
46733,LA County Museum of Art,Los Angeles,CA,90036,34.063383,-118.35808,J1772,POWERFLEX,0,0,15,2025-05-12
46743,Empire Nissan,Ontario,CA,91761,34.049006,-117.547161,"CHADEMO,J1772,J1772COMBO",Non-Networked,1,0,1,2024-02-12
46974,City of Rancho Cucamonga - Animal Care & Adoption Center,Rancho Cucamonga,CA,91730,34.100456,-117.54918,J1772,Non-Networked,0,0,1,2023-01-10
48141,Santa Maria Nissan,Santa Maria,CA,93454,34.93214,-120.4207,J1772,Non-Networked,0,0,2,2024-02-12
48179,CITY OF COTATI COMMUNITYCENTR2,Cotati,CA,94931,38.32398,-122.709121,J1772,ChargePoint Network,0,0,1,2025-10-13
48353,"AAA - Auto Club of Southern California, Costa Mesa Branch",Costa Mesa,CA,92626,33.69276,-117.9183,J1772,Non-Networked,0,0,2,2025-05-12
48358,"AAA - Auto Club of Southern California, Los Angeles Branch",Los Angeles,CA,90007,34.02828,-118.2778,J1772,Non-Networked,0,0,2,2025-05-12
48362,Marriott - Renaissance Los Angeles Airport Hotel,Los Angeles,CA,90045,33.9492,-118.385,J1772,Non-Networked,0,0,2,2025-06-06
48368,Target,San Luis Obispo,CA,93401,35.25211177248671,-120.6859746944428,J1772,Non-Networked,0,0,6,2023-05-03
48836,Marcum Copp Barbieri DDS,San Luis Obispo,CA,93401,35.28059,-120.657,J1772,Non-Networked,0,0,1,2023-05-03
48838,Bella Vista Road Park & Ride Lot,Vacaville,CA,95687,38.34962,-121.987,J1772,Non-Networked,0,0,6,2024-07-11
